,Number,Names
19,20, Friendly staff OostPark a few yards away Good continental breakfast selection Quiet and relaxing area 
64,65, Great trip staff very friendly
93,94, Beautifull buiding next to Oosterpark Friendly staff Great breakfast 
112,113, Breakfast was very nice and the staff were so helpful especially with giving us advice on transport around the city Also the bed was comfortable so we slept so well each night 
140,141, The whole experience was amazing there were construction works going on but the staff made sure it didn t impact your time there at all very friendly and very helpful
147,148, Staff were very friendly helpful The kitchen provided us a great meal the bar staff were nice and the breakfast bar was very impressive 
210,211, This was our first time in Amsterdam and the staff were incredibly helpful They took special notice of the fact that is was my birthday and were so friendly 
238,239, The staff were very friendly and very helpful 
247,248, Outside areas staff deco and art
251,252, Breakfast is amazing Very kind staff
320,321, The staff were lovely and the bed was huge Very accommodating and not so far from the city centre
328,329, staff EXCELLENTbed VERY comfortable
341,342, The architecture the bar area the staff are kind and helpful 
353,354, Fantastic staff that could not have been more helpful friendly and professional
359,360, The facilities were amazing Great food and the staff were so friendly
402,403, The staff were so friendly and very helpful 
417,418, Clean comfy beds Beautiful gardens Excellent helpful staff 
442,443, Good quality breakfast food friendly and efficient staff
456,457, Friendly helpful staff The facilities are good including the bar The Earl s Court tube station is just a few steps away and this station has access to several useful lines For what you get the prices are reasonable Very nice breakfast buffet 
478,479, Comfortable beds quality breakfast nice and helpful staff short walk to the tube
489,490, The staff was helpful and friendly The lobby bar and breakfast areas are pleasant It is conveniently located close to the center without being in a noisy road Very close proximity to fast food chains supermarket and the metro 
490,491, Bed linen is so cozy lovely breakfast super showers and staff are great and friendly 
519,520, Great food very nice bar staff
527,528, Very comfy beds and helpful staff Easy walk to the tube station Price we secured was very good Access to computers and printers very helpful 
539,540, We had a lovely stay at K K the staff was wonderful and so thoughtful When we arrived at 7 30 am after travelling all evening they offered the use of the Wellness Center to take showers amazing fluffy towels and freshen up before we headed out for a day of sightseeing since we would not be able to check in until 3pm That really saved the day and we had an amazing day in London 
556,557, The bed was definitely extra comfy slept like a baby The staff was friendly and helpful The printing center was also very convenient 
593,594, Very helpful staff All premises were kept really clean A very good breakfast and you can eat all you can The garden at the bakc of the building really nice if the weather is good 
595,596, Very helpful staff great choice of food at breakfast clean and recently refurbished close to underground station 
621,622, reception staff were pleasant and helpful with all questions put to them 
637,638, very nice staff at the front desk 
642,643, style breakfast bar meals great staff 
650,651, The staff were friendly the meal was nice could not use front entrance like everyone else had to use underground car park and go up hill 20 metres and down 20 metres down its a accident waiting to happen 
692,693, clean good staff everything worked
695,696, Very helpful staff all round Great place to stay Spotlessly clean and very close to Earls Court tube station 
717,718, Very helpful staff and a lovely garden
732,733, Help from staff in a medical emergency 
746,747, Great breakfast Close to the tube Great staff 
751,752, Comfy bed very clean exceptional staff
764,765, The staff were young but extremely proffessional and helpful Anna Christina Jana Marina Jose 
769,770, The Service and staff made our stay worthwhile 
780,781, the staff were very nice and helpfil especially jose
819,820, lovely garden very personable staff comfortable lounge bar area 
841,842, Quiet friendly staff cleanliness garden very convenient for underground
857,858, very clean friendly staff excellent breakfast
885,886, Friendly welcoming staff who even provided complimentary bubbly for my daughters 18th Delicious breakfast Comfy beds 
916,917, Close underground Very helpful staff
922,923, Lovely staff very helpful Clean and functional 
927,928, Reception staff really professional and friendly 
964,965, Friendly staff great breakfast
969,970, Efficiency of booking procedure secure parking facility Efficiency of staff 
1007,1008, The staff were fantastic in the bar super friendly The shower and bath were fantastic 
1083,1084, over all the satyr was great the staff were most help full bed was comfy bath was Hugh took care of my every need and made myself and my partner most welcome
1090,1091, Staffs are very kind and friendly I ve stayed at Apex before When I checked in a staff told me Welcome back I was really happy for such a friendly atmosphere Thank you so much 
1100,1101, Reception staff were excellent Gym was well equipped for the size 
1103,1104, Wonderful pillows Seriously it s been over 10 years since my last trip to London My impression is that London has become a more friendly city and this extends to all the staff at Apex Temple who were courteous and helpful to us 
1126,1127, On arrival the receptionist was extremely helpful she gave us a map advised us on the quickest way to get to our destination and as we were leaving she called us a taxi The bar staff were very friendly to Overall lovely stay 
1149,1150, Everything was amazing we were very happy and pleased and would definitely go back again Also we arrived at 12 34am due to delayed flights all day and the Apex staff at the concierge gave us a later check out time 
1160,1161, All the staff To a man woman they were polite and helpful to such an extent that I telephoned the General Manager on my return home to congratulate him on the quality of his people The food was good too 
